Year,Number,Name,Purpose,Address,Landcat,Area,Cd,Cu,As,Hg,Pb,Cr_six,Zn,Ni,F,Organicp,PCBS,CN,Penole,Benzen,Toluen, Ethylbenzene,Xylene,TPH,TCE,PCE,Benzoapyrene,pH,XX,YY,X,Y
2010,PCNA10,김해NA부산,없음,부산시 강서구 강동동 661-337(국도14호선),도로,3617,0.16,4.4,0.48,0,7.8,0,29.9,0,150,NA,NA,0,NA,0,0,0,0,54,NA,NA,NA,7.4,128.932,35.22,1130323.345,1692588.583
2010,PSNA20,부산모라,없음,부산시 사상구 모라동 산 77,전,3669,0,12.2,0.4,0.02,52.4,0,51.1,47.9,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,128.994,35.187,1136001.295,1689025.269
2010,PPNA16,명지녹산산단,없음,부산시 강서구 송정동 1623-2 삼성전기㈜내,공장용지,160908,0,9.9,0.35,0.02,31.1,0,95.9,26.1,127,NA,0,0,0,0,0,0,0,55,0,0,NA,5.3,128.856,35.096,1123595.709,1678686.079
2010,PPNA17,신호산단,없음,부산시 강서구 신호동 185 르노삼성자동차㈜내,공장용지,23760,0,13.5,1.19,0.02,14.6,0,62.7,17.9,77,NA,0,0,0,0,0,0,0.1,74,0,0,NA,5,128.877,35.095,1125548.501,1678608.177
2010,PNNA03,부산강서죽림,없음,부산시 강서구 죽림동 713,답,9900,0.15,9,0.49,0.04,7.7,0,27.1,12.4,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,128.902,35.197,1127597.138,1689980.31
2010,PENA03,대성자동차,없음,부산시 사상구 덕포2동 372-5(대성자동차학원),잡종지,1012,0.41,15,18.92,0.02,24.4,0,122.7,15.1,132,NA,0,0,0,0,0,0,0.1,97,0,0,NA,6.8,128.982,35.178,1134985.786,1687974.597
2010,TUNA05,달성공원,없음,대구시 중구 달성동 294-1,공원,103391,1.62,30.4,14.03,0.03,30,0,92.8,14,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,128.579,35.874,1097419.903,1764694.618
2010,PANA10,기장초등,없음,부산시 기장군 기장읍 동부리 320,학교용지,2445,0.09,18.2,9.08,0.07,19,0,63.2,6.2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,129.212,35.246,1155771.399,1695851.138
2010,TKNA13,중구남산,없음,대구시 중구 남산동 2434,대지,15768,2.67,126.8,18.21,0.06,53.1,0,271,24.6,286,NA,NA,0.1,NA,0,0,0,0,59,NA,NA,NA,7.1,128.585,35.861,1097937.327,1763263.368
2010,PKNA04,남천삼익,없음,부산시 남구 남천2동 삼익비치맨션 107동,대지,2640,0.32,38.1,1.21,0.07,46.9,0,152.4,17.5,91,NA,NA,0,NA,0,0,0,0,61,NA,NA,NA,7.9,129.09,35.126,1144857.45,1682402.802
